;instance;nodes;time;result
0;3 queens;1;0.0;False
1;4 queens;8;0.001;True
2;5 queens;8;0.001;True
3;6 queens;19;0.004;True
4;7 queens;15;0.003;True
5;8 queens;27;0.011;True
6;9 queens;51;0.032;True
7;10 queens;62;0.04;True
8;11 queens;128;0.1091;True
9;12 queens;150;0.1199;True
10;13 queens;179;0.1702;True
11;14 queens;294;0.4475;True
12;15 queens;18;0.0285;True
13;16 queens;140;0.2593;True
14;17 queens;503;1.0685;True
15;18 queens;28;0.0713;True
16;19 queens;183;0.4423;True
17;20 queens;260;0.9542;True
18;21 queens;48;0.1646;True
19;22 queens;31;0.1555;True
20;23 queens;74;0.4898;True
21;24 queens;435;2.9669;True
22;25 queens;141;0.9943;True
23;26 queens;133;0.8585;True
24;27 queens;216;1.5397;True
25;28 queens;144;1.0659;True
26;29 queens;408;3.2267;True
